epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,19784.9,0.61583,0.31358,0.90947,0.90952,0.9155,0.93276,0.75055,0.93939,0.38615,1.01826,9.508e-05,9.508e-05,9.508e-05
79,20058.7,0.61007,0.31138,0.90903,0.90383,0.92222,0.93331,0.74933,0.94259,0.38701,1.01823,9.112e-05,9.112e-05,9.112e-05
80,20395,0.60822,0.31099,0.90594,0.90664,0.92337,0.93331,0.74857,0.94122,0.38421,1.01857,8.716e-05,8.716e-05,8.716e-05
81,20660,0.60935,0.31044,0.90616,0.90834,0.91541,0.93098,0.75011,0.93518,0.38487,1.01653,8.32e-05,8.32e-05,8.32e-05
82,20945.4,0.60338,0.30751,0.90645,0.90756,0.91574,0.93216,0.75294,0.93238,0.38352,1.01674,7.924e-05,7.924e-05,7.924e-05
83,21155.4,0.60373,0.30832,0.90511,0.91131,0.91412,0.93271,0.753,0.93476,0.38466,1.0174,7.528e-05,7.528e-05,7.528e-05
84,21577.8,0.59863,0.30567,0.90268,0.9059,0.9213,0.93188,0.75145,0.93504,0.38268,1.01819,7.132e-05,7.132e-05,7.132e-05
85,21939.4,0.59457,0.30473,0.90166,0.90725,0.91791,0.93293,0.75247,0.93706,0.38369,1.01864,6.736e-05,6.736e-05,6.736e-05
86,22284.9,0.5933,0.30424,0.90258,0.91293,0.91613,0.93172,0.75171,0.93275,0.38327,1.01795,6.34e-05,6.34e-05,6.34e-05
87,22490.6,0.59141,0.30382,0.90256,0.91072,0.91527,0.93288,0.75143,0.93904,0.3829,1.01929,5.944e-05,5.944e-05,5.944e-05
88,22711.4,0.58617,0.30121,0.8993,0.90707,0.91924,0.93288,0.7529,0.93336,0.38167,1.01815,5.548e-05,5.548e-05,5.548e-05
89,23085.7,0.58269,0.29997,0.8974,0.90754,0.91923,0.93186,0.75209,0.93203,0.37992,1.01836,5.152e-05,5.152e-05,5.152e-05
90,23504.5,0.58584,0.30089,0.89953,0.90739,0.9215,0.93315,0.75543,0.93331,0.38127,1.01938,4.756e-05,4.756e-05,4.756e-05
91,23968.4,0.57305,0.28034,0.90351,0.91037,0.91758,0.93274,0.75468,0.92531,0.38077,1.01857,4.36e-05,4.36e-05,4.36e-05
92,24297.3,0.55393,0.27419,0.89671,0.91048,0.91912,0.93247,0.75244,0.93241,0.38305,1.02102,3.964e-05,3.964e-05,3.964e-05
93,24571.2,0.54062,0.26963,0.89168,0.91431,0.9162,0.93231,0.75126,0.93105,0.38359,1.02144,3.568e-05,3.568e-05,3.568e-05
94,25393,0.53171,0.26711,0.88742,0.91083,0.91835,0.93286,0.7516,0.93197,0.38405,1.02257,3.172e-05,3.172e-05,3.172e-05
95,25690.1,0.52883,0.26568,0.88733,0.91005,0.92013,0.93326,0.75231,0.93199,0.38273,1.02287,2.776e-05,2.776e-05,2.776e-05
96,26011,0.52248,0.26396,0.88378,0.90604,0.92415,0.93305,0.75396,0.93284,0.38317,1.02321,2.38e-05,2.38e-05,2.38e-05
97,26320.9,0.51839,0.26258,0.88288,0.9092,0.92172,0.93331,0.75825,0.93024,0.38302,1.02265,1.984e-05,1.984e-05,1.984e-05
98,26908.2,0.5164,0.26177,0.88281,0.907,0.92304,0.9331,0.75601,0.93124,0.38393,1.02371,1.588e-05,1.588e-05,1.588e-05
99,27071,0.51068,0.26071,0.87975,0.90696,0.92307,0.93313,0.75627,0.93291,0.38395,1.02449,1.192e-05,1.192e-05,1.192e-05
100,27346.6,0.50565,0.2591,0.87955,0.90615,0.92465,0.93349,0.75454,0.93119,0.38343,1.02361,7.96e-06,7.96e-06,7.96e-06
